rank,ticker,name,market_cap_krw,market_cap_h,sector,market
156,085620.KS,미래에셋생명,2262900000000,2.26조,보험,KOSPI
157,007070.KS,GS리테일,2261600000000,2.26조,유통,KOSPI
158,204320.KS,HL만도,2239900000000,2.24조,운송장비·부품,KOSPI
159,489790.KS,한화비전,2221500000000,2.22조,전기·전자,KOSPI
160,282330.KS,BGF리테일,2205400000000,2.21조,유통,KOSPI
161,007340.KS,DN오토모티브,2197100000000,2.20조,전기·전자,KOSPI
162,004370.KS,농심,2171500000000,2.17조,음식료·담배,KOSPI
163,030000.KS,제일기획,2162800000000,2.16조,일반서비스,KOSPI
164,005440.KS,현대지에프홀딩스,2142100000000,2.14조,금융,KOSPI
165,192820.KS,코스맥스,2097400000000,2.10조,화학,KOSPI
166,073240.KS,금호타이어,2048200000000,2.05조,화학,KOSPI
167,462870.KS,시프트업,2032400000000,2.03조,IT 서비스,KOSPI
168,071970.KS,HD현대마린엔진,2028500000000,2.03조,기계·장비,KOSPI
169,018670.KS,SK가스,2027300000000,2.03조,유통,KOSPI
170,051600.KS,한전KPS,1977800000000,1.98조,건설,KOSPI
171,008770.KS,호텔신라,1950600000000,1.95조,유통,KOSPI
172,457190.KS,이수스페셜티케미컬,1846400000000,1.85조,화학,KOSPI
173,002790.KS,아모레퍼시픽홀딩스,1842600000000,1.84조,화학,KOSPI
174,281820.KS,케이씨텍,1813600000000,1.81조,의료·정밀기기,KOSPI
175,439260.KS,대한조선,1784500000000,1.78조,운송장비·부품,KOSPI
176,020150.KS,롯데에너지머티리얼즈,1764700000000,1.76조,전기·전자,KOSPI
177,112610.KS,씨에스윈드,1754300000000,1.75조,금속,KOSPI
178,103140.KS,풍산,1751500000000,1.75조,금속,KOSPI
179,395400.KS,SK리츠,1709800000000,1.71조,리츠,KOSPI
180,007810.KS,코리아써키트,1693200000000,1.69조,전기·전자,KOSPI
181,000120.KS,CJ대한통운,1681300000000,1.68조,운송·창고,KOSPI
182,475150.KS,SK이터닉스,1674400000000,1.67조,건설,KOSPI
183,001740.KS,SK네트웍스,1644900000000,1.64조,유통,KOSPI
184,011210.KS,현대위아,1634400000000,1.63조,운송장비·부품,KOSPI
185,001800.KS,오리온홀딩스,1606200000000,1.61조,금융,KOSPI
186,120110.KS,코오롱인더,1596100000000,1.60조,화학,KOSPI
187,023590.KS,다우기술,1543200000000,1.54조,IT 서비스,KOSPI
188,006040.KS,동원산업,1538300000000,1.54조,금융,KOSPI
189,069620.KS,대웅제약,1536400000000,1.54조,제약,KOSPI
