rank,ticker,name,market_cap_krw,market_cap_h,sector,market
317,030190.KS,NICE평가정보,832400000000,8324억,IT 서비스,KOSPI
318,195870.KS,해성디에스,816000000000,8160억,전기·전자,KOSPI
319,083450.KQ,GST,810900000000,8109억,기계·장비,KOSDAQ
320,036540.KQ,SFA반도체,809100000000,8091억,전기·전자,KOSDAQ
321,365550.KS,ESR켄달스퀘어리츠,802300000000,8023억,리츠,KOSPI
322,388720.KQ,유일로보틱스,802300000000,8023억,기계·장비,KOSDAQ
323,086450.KQ,동국제약,799200000000,7992억,제약,KOSDAQ
324,090710.KQ,휴림로봇,798700000000,7987억,기계·장비,KOSDAQ
325,100090.KS,SK오션플랜트,786600000000,7866억,금속,KOSPI
326,137310.KS,에스디바이오센서,782500000000,7825억,의료·정밀기기,KOSPI
327,036530.KS,SNT홀딩스,781000000000,7810억,금융,KOSPI
328,001820.KS,삼화콘덴서공업,780700000000,7807억,전기·전자,KOSPI
329,038500.KQ,삼표시멘트,770500000000,7705억,비금속,KOSDAQ
330,476830.KQ,알지노믹스,761700000000,7617억,일반서비스,KOSDAQ
331,214320.KS,이노션,755200000000,7552억,일반서비스,KOSPI
332,071320.KS,지역난방공사,748000000000,7480억,전기·가스,KOSPI
333,499790.KS,GS피앤엘,747600000000,7476억,금융,KOSPI
334,328130.KQ,루닛,742300000000,7423억,IT 서비스,KOSDAQ
335,099320.KQ,쎄트렉아이,741400000000,7414억,운송장비·부품,KOSDAQ
336,213420.KQ,덕산네오룩스,740000000000,7400억,전기·전자,KOSDAQ
337,252990.KQ,샘씨엔에스,738300000000,7383억,전기·전자,KOSDAQ
338,281740.KQ,레이크머티리얼즈,734900000000,7349억,화학,KOSDAQ
339,122870.KQ,와이지엔터테인먼트,727100000000,7271억,오락·문화,KOSDAQ
340,056190.KQ,에스에프에이,723600000000,7236억,기계·장비,KOSDAQ
341,032190.KQ,다우데이타,723100000000,7231억,유통,KOSDAQ
342,417200.KQ,LS머트리얼즈,721900000000,7219억,전기·전자,KOSDAQ
343,232140.KQ,와이씨,721200000000,7212억,기계·장비,KOSDAQ
344,064960.KS,SNT모티브,715300000000,7153억,운송장비·부품,KOSPI
345,004490.KS,세방전지,709600000000,7096억,전기·전자,KOSPI
346,119850.KQ,지엔씨에너지,708900000000,7089억,전기·전자,KOSDAQ
347,100790.KQ,미래에셋벤처투자,708600000000,7086억,금융,KOSDAQ
348,014620.KQ,성광벤드,707100000000,7071억,금속,KOSDAQ
349,003850.KS,보령,706900000000,7069억,제약,KOSPI
350,298050.KS,HS효성첨단소재,706500000000,7065억,화학,KOSPI
351,388210.KQ,씨엠티엑스,699900000000,6999억,전기·전자,KOSDAQ
